feature_columns,fscores
hometown_00002923,1.27763316576
positionID_00006570,1.27481087482
positionID_00004900,1.25218625756
positionID_00002794,1.24686471886
positionID_00007330,1.2331326277
hometown_00001631,1.2220533263
positionID_00006629,1.22030682104
positionID_00003893,1.20250491413
hometown_00001492,1.2022270824
residence_00001005,1.1419914281
positionID_00000863,1.14003480754
hometown_00000301,1.12314412844
positionID_00002363,1.11561751344
positionID_00005467,1.1096883878
age_00000010,1.10852543234
residence_00000297,1.10624000131
residence_00000192,1.09838854564
positionID_00005089,1.09067462726
positionID_00002948,1.08736153214
positionID_00004328,1.08371493937
positionID_00002807,1.06039329829
positionID_00006559,1.05335418201
hometown_00001150,1.04984413617
positionID_00003042,1.04523886432
positionID_00004268,1.01147731775
hometown_00003296,1.00393240415
appPlatform_0,2.22507385851e-308
positionID_00000217,0.0
hometown_00002104,0.0
hometown_00002093,0.0
hometown_00002094,0.0
hometown_00002095,0.0
hometown_00002096,0.0
hometown_00002097,0.0
hometown_00002098,0.0
hometown_00002099,0.0
hometown_00002100,0.0
hometown_00002101,0.0
hometown_00002102,0.0
hometown_00002103,0.0
hometown_00002105,0.0
hometown_00002091,0.0
hometown_00002106,0.0
hometown_00002107,0.0
hometown_00002108,0.0
hometown_00002109,0.0
hometown_00002110,0.0
hometown_00002111,0.0
hometown_00002112,0.0
hometown_00002113,0.0
hometown_00002114,0.0
hometown_00002115,0.0
hometown_00002116,0.0
hometown_00002092,0.0
hometown_00002090,0.0
hometown_00002118,0.0
hometown_00002076,0.0
hometown_00002065,0.0
hometown_00002066,0.0
hometown_00002067,0.0
hometown_00002068,0.0
hometown_00002069,0.0
hometown_00002070,0.0
hometown_00002071,0.0
hometown_00002072,0.0
hometown_00002073,0.0
hometown_00002074,0.0
hometown_00002075,0.0
hometown_00002077,0.0
hometown_00002089,0.0
hometown_00002078,0.0
hometown_00002079,0.0
hometown_00002080,0.0
hometown_00002081,0.0
hometown_00002082,0.0
hometown_00002083,0.0
hometown_00002084,0.0
hometown_00002085,0.0
hometown_00002086,0.0
hometown_00002087,0.0
hometown_00002088,0.0
hometown_00002117,0.0
hometown_00002119,0.0
hometown_00002063,0.0
hometown_00002160,0.0
hometown_00002149,0.0
hometown_00002150,0.0
hometown_00002151,0.0
hometown_00002152,0.0
hometown_00002153,0.0
hometown_00002154,0.0
hometown_00002155,0.0
hometown_00002156,0.0
hometown_00002157,0.0
hometown_00002158,0.0
hometown_00002159,0.0
hometown_00002161,0.0
hometown_00002147,0.0
hometown_00002162,0.0
hometown_00002163,0.0
hometown_00002164,0.0
hometown_00002165,0.0
hometown_00002166,0.0
hometown_00002167,0.0
hometown_00002168,0.0
hometown_00002169,0.0
hometown_00002170,0.0
hometown_00002171,0.0
hometown_00002172,0.0
hometown_00002148,0.0
hometown_00002146,0.0
hometown_00002120,0.0
hometown_00002132,0.0
hometown_00002121,0.0
hometown_00002122,0.0
hometown_00002123,0.0
hometown_00002124,0.0
hometown_00002125,0.0
hometown_00002126,0.0
hometown_00002127,0.0
hometown_00002128,0.0
